From	To
O75015	CHEMBL5842
O75030	CHEMBL1741165
O75084	CHEMBL3559688
O75106	CHEMBL4112
O75116	CHEMBL2973
O75144	CHEMBL3712949
O75151	CHEMBL4295672
O75153	CHEMBL4295673
O75164	CHEMBL5896
O75170	CHEMBL4105960
O75173	CHEMBL2318
O75175	CHEMBL4105769
O75190	CHEMBL4295674
O75197	CHEMBL4295675
O75251	CHEMBL2363065
O75306	CHEMBL3039
O75310	CHEMBL4523985
O75311	CHEMBL1075092
O75330	CHEMBL4295676
O75340	CHEMBL4105994
O75343	CHEMBL2111348
O75351	CHEMBL2311229
O75355	CHEMBL5897
O75356	CHEMBL4523151
O75365	CHEMBL4162
O75369	CHEMBL4295677
O75376	CHEMBL3038484
O75380	CHEMBL2363065
O75381	CHEMBL4523152
O75385	CHEMBL6006
O75387	CHEMBL4148
O75388	CHEMBL4523863
O75390	CHEMBL4295678
O75396	CHEMBL4295679
O75417	CHEMBL6025
O75419	CHEMBL3040
O75438	CHEMBL2363065
O75449	CHEMBL3879856
O75460	CHEMBL1163101
O75461	CHEMBL4630726
O75469	CHEMBL3401
O75475	CHEMBL3988590
O75489	CHEMBL2363065
O75493	CHEMBL2420
O75496	CHEMBL1293278
O75530	CHEMBL2189117
O75533	CHEMBL1229013
O75578	CHEMBL5882
O75581	CHEMBL3745588
O75582	CHEMBL4237
O75604	CHEMBL1293227
O75608	CHEMBL1681631
O75626	CHEMBL5214860
O75643	CHEMBL4105972
O75676	CHEMBL3125
O75688	CHEMBL2845
O75694	CHEMBL4295680
O75716	CHEMBL3938
O75717	CHEMBL4295681
O75747	CHEMBL1163120
O75751	CHEMBL2073673
O75762	CHEMBL6007
O75795	CHEMBL4978
O75807	CHEMBL4630805
O75828	CHEMBL6008
O75832	CHEMBL2331054
O75844	CHEMBL3739253
O75845	CHEMBL3509588
O75874	CHEMBL2007625
O75884	CHEMBL1075121
O75888	CHEMBL3713436
O75897	CHEMBL1743296
O75899	CHEMBL5034
O75907	CHEMBL6009
O75908	CHEMBL4465
O75909	CHEMBL2346490
O75914	CHEMBL2999
O75936	CHEMBL2163175
O75940	CHEMBL4105959
O75955	CHEMBL5209841
O75956	CHEMBL6010
O75962	CHEMBL4523153
O75976	CHEMBL4523154
O76021	CHEMBL1075139
O76031	CHEMBL3797014
O76039	CHEMBL1163112
O76062	CHEMBL5839
O76074	CHEMBL1827
O76082	CHEMBL2073693
O76083	CHEMBL3535
O94759	CHEMBL1250402
O94760	CHEMBL6036
O94768	CHEMBL3980
O94782	CHEMBL1795087
O94788	CHEMBL3112384
O94804	CHEMBL3981
O94806	CHEMBL2595
O94905	CHEMBL4739672
O94907	CHEMBL6024
O94921	CHEMBL6162
O94925	CHEMBL2146302
O94953	CHEMBL3313832
O94956	CHEMBL1743124
O94966	CHEMBL4523156
O94992	CHEMBL3120044
