From	To
P19490	CHEMBL3753
Q9Z122	CHEMBL5088
Q63269	CHEMBL2846
P10860	CHEMBL2176833
P25115	CHEMBL2281
P12928	CHEMBL3089
D3ZDM7	CHEMBL3616356
Q6TEK4	CHEMBL4105870
P27158	CHEMBL4022
P35370	CHEMBL4503
Q9QY78	CHEMBL4524001
Q62897	CHEMBL5169162
P25108	CHEMBL3885509
P25108	CHEMBL4523658
P85968	CHEMBL5169141
Q6RI86	CHEMBL5160
P51635	CHEMBL3871
Q00195	CHEMBL4523272
P56718	CHEMBL1075232
P18508	CHEMBL2095167
P18508	CHEMBL2111327
P18508	CHEMBL2111343
P18508	CHEMBL2111365
P18508	CHEMBL2111374
P18508	CHEMBL3883322
P18508	CHEMBL4296047
P18508	CHEMBL4296048
P18508	CHEMBL4296051
P18508	CHEMBL4296054
P18508	CHEMBL4296062
P97520	CHEMBL5770
P09216	CHEMBL3424
D4ADR1	CHEMBL4295535
P30940	CHEMBL4646
P10608	CHEMBL3754
D4A7K4	CHEMBL4105995
P26435	CHEMBL4847
Q9EQ60	CHEMBL5134
P97535	CHEMBL2307
P04800	CHEMBL3323
Q62976	CHEMBL5505
P18916	CHEMBL4523658
P20814	CHEMBL3509596
G3V909	CHEMBL4105716
Q63604	CHEMBL1795111
Q62735	CHEMBL4105917
Q01062	CHEMBL4650
Q05754	CHEMBL2992
Q04400	CHEMBL2880
Q01827	CHEMBL4828
D4A3N4	CHEMBL2095179
P28471	CHEMBL292
P09760	CHEMBL4523172
Q80Z39	CHEMBL4731
P54757	CHEMBL4739679
Q63531	CHEMBL5528
P54748	CHEMBL4964
P11884	CHEMBL2812
P30835	CHEMBL4739847
P26255	CHEMBL4031
Q63344	CHEMBL2073718
P18292	CHEMBL3078
P97687	CHEMBL2767
P43245	CHEMBL1075229
P84025	CHEMBL3784913
P19357	CHEMBL3286066
Q4QQW4	CHEMBL2915
Q64602	CHEMBL2662
P15999	CHEMBL2176795
P23574	CHEMBL296
P62744	CHEMBL1697667
P15304	CHEMBL5582
P97571	CHEMBL3747
O35543	CHEMBL4523131
Q64617	CHEMBL2094266
Q63645	CHEMBL2429706
Q9ET64	CHEMBL3528
Q9JIS4	CHEMBL3308951
P35411	CHEMBL2346491
Q02734	CHEMBL3211
Q6TMG5	CHEMBL4524001
Q64541	CHEMBL2485
P06687	CHEMBL3885640
P06687	CHEMBL4106149
P19327	CHEMBL273
P19328	CHEMBL266
P35560	CHEMBL2146350
Q06518	CHEMBL3051
Q00788	CHEMBL3766
O70199	CHEMBL4523146
Q62758	CHEMBL4317
P26769	CHEMBL2958
P68370	CHEMBL4139
O35811	CHEMBL2124
F1LMZ8	CHEMBL5169096
Q9QUS1	CHEMBL3509594
O70536	CHEMBL285
Q03343	CHEMBL2095179
P15684	CHEMBL3259
P51577	CHEMBL2818
P23944	CHEMBL326
P37136	CHEMBL3199
P30082	CHEMBL4720
Q11205	CHEMBL3638362
P25961	CHEMBL6038
O35820	CHEMBL3329079
Q9WVR3	CHEMBL2331062
P70623	CHEMBL2021755
O35346	CHEMBL5773
P70618	CHEMBL4825
P09660	CHEMBL4961
O08816	CHEMBL3774296
Q9R1A7	CHEMBL2146315
Q80ZG2	CHEMBL2667
P28473	CHEMBL1907607
P16638	CHEMBL2745
P23097	CHEMBL4944
Q08464	CHEMBL4879455
P51578	CHEMBL2495
P80386	CHEMBL5054
Q4FZV0	CHEMBL3431
P26433	CHEMBL3879842
P10634	CHEMBL2483
Q7TQP6	CHEMBL4802010
